"date","incidence_obs"
"1998-06-04",105
"1998-06-11",83
"1998-06-18",94
"1998-06-25",84
"1998-07-02",72
"1998-07-09",93
"1998-07-16",81
"1998-07-23",66
"1998-07-30",68
"1998-08-06",45
"1998-08-13",76
"1998-08-20",84
"1998-08-27",79
"1998-09-03",98
"1998-09-10",157
"1998-09-17",110
"1998-09-24",178
"1998-10-01",153
"1998-10-08",188
"1998-10-15",260
"1998-10-22",213
"1998-10-29",244
"1998-11-05",298
"1998-11-12",299
"1998-11-19",335
"1998-11-26",331
"1998-12-03",409
"1998-12-10",478
"1998-12-17",697
"1998-12-24",847
"1998-12-31",1214
"1999-01-07",1524
"1999-01-14",1559
"1999-01-21",2041
"1999-01-28",2225
"1999-02-04",2250
"1999-02-11",1951
"1999-02-18",1656
"1999-02-25",1191
"1999-03-04",1084
"1999-03-11",777
"1999-03-18",542
"1999-03-25",366
"1999-04-01",151
"1999-04-08",217
"1999-04-15",116
"1999-04-22",181
"1999-04-29",125
"1999-05-06",118
"1999-05-13",119
"1999-05-20",103
"1999-05-27",118
"1999-06-03",95
"1999-06-10",115
"1999-06-17",68
"1999-06-24",97
"1999-07-01",108
"1999-07-08",80
"1999-07-15",81
"1999-07-22",80
"1999-07-29",48
"1999-08-05",53
"1999-08-12",61
"1999-08-19",86
"1999-08-26",105
"1999-09-02",126
"1999-09-09",120
"1999-09-16",146
"1999-09-23",175
"1999-09-30",217
"1999-10-07",303
"1999-10-14",360
"1999-10-21",412
"1999-10-28",467
"1999-11-04",533
"1999-11-11",530
"1999-11-18",625
"1999-11-25",677
"1999-12-02",866
"1999-12-09",1339
"1999-12-16",1898
"1999-12-23",2317
"1999-12-30",3010
"2000-01-06",3758
"2000-01-13",4192
"2000-01-20",3203
"2000-01-27",2042
"2000-02-03",1399
"2000-02-10",1184
"2000-02-17",926
"2000-02-24",789
"2000-03-02",655
"2000-03-09",479
"2000-03-16",387
"2000-03-23",456
"2000-03-30",326
"2000-04-06",275
"2000-04-13",181
"2000-04-20",105
"2000-04-27",167
"2000-05-04",114
"2000-05-11",171
"2000-05-18",153
"2000-05-25",126
"2000-06-01",119
"2000-06-08",72
"2000-06-15",96
"2000-06-22",114
"2000-06-29",120
"2000-07-06",100
"2000-07-13",92
"2000-07-20",94
"2000-07-27",101
"2000-08-03",81
"2000-08-10",57
"2000-08-17",65
"2000-08-24",89
"2000-08-31",85
"2000-09-07",122
"2000-09-14",231
"2000-09-21",249
"2000-09-28",262
"2000-10-05",206
"2000-10-12",195
"2000-10-19",184
"2000-10-26",269
"2000-11-02",321
"2000-11-09",435
"2000-11-16",481
"2000-11-23",507
"2000-11-30",677
"2000-12-07",830
"2000-12-14",1053
"2000-12-21",1194
"2000-12-28",1554
"2001-01-04",2005
"2001-01-11",2073
"2001-01-18",2002
"2001-01-25",1705
"2001-02-01",1289
"2001-02-08",1273
"2001-02-15",1041
"2001-02-22",956
"2001-03-01",809
"2001-03-08",609
"2001-03-15",536
"2001-03-22",436
"2001-03-29",262
"2001-04-05",132
"2001-04-12",171
"2001-04-19",129
"2001-04-26",106
"2001-05-03",119
"2001-05-10",124
"2001-05-17",145
"2001-05-24",95
"2001-05-31",113
"2001-06-07",121
"2001-06-14",75
"2001-06-21",101
"2001-06-28",103
"2001-07-05",83
"2001-07-12",82
"2001-07-19",63
"2001-07-26",60
"2001-08-02",57
"2001-08-09",45
"2001-08-16",75
"2001-08-23",75
"2001-08-30",67
"2001-09-06",76
"2001-09-13",68
"2001-09-20",107
"2001-09-27",113
"2001-10-04",110
"2001-10-11",168
"2001-10-18",197
"2001-10-25",283
"2001-11-01",325
"2001-11-08",380
"2001-11-15",463
"2001-11-22",467
"2001-11-29",506
"2001-12-06",570
"2001-12-13",692
"2001-12-20",956
"2001-12-27",1617
"2002-01-03",2858
"2002-01-10",4293
"2002-01-17",5402
"2002-01-24",4744
"2002-01-31",3362
"2002-02-07",2082
"2002-02-14",1343
"2002-02-21",925
"2002-02-28",819
"2002-03-07",657
"2002-03-14",464
"2002-03-21",346
"2002-03-28",116
"2002-04-04",163
"2002-04-11",89
"2002-04-18",160
"2002-04-25",155
"2002-05-02",136
"2002-05-09",126
"2002-05-16",88
"2002-05-23",103
"2002-05-30",83
