"date","incidence_ndss_obs"
"2002-01-01",43
"2002-02-01",44
"2002-03-01",29
"2002-04-01",99
"2002-05-01",57
"2002-06-01",141
"2002-07-01",269
"2002-08-01",165
"2002-09-01",288
"2002-10-01",286
"2002-11-01",193
"2002-12-01",309
"2003-01-01",167
"2003-02-01",90
"2003-03-01",69
"2003-04-01",68
"2003-05-01",68
"2003-06-01",134
"2003-07-01",182
"2003-08-01",219
"2003-09-01",206
"2003-10-01",131
"2003-11-01",150
"2003-12-01",164
"2004-01-01",97
"2004-02-01",80
"2004-03-01",69
"2004-04-01",41
"2004-05-01",63
"2004-06-01",68
"2004-07-01",198
"2004-08-01",300
"2004-09-01",285
"2004-10-01",214
"2004-11-01",197
"2004-12-01",98
"2005-01-01",51
"2005-02-01",36
"2005-03-01",29
"2005-04-01",22
"2005-05-01",29
"2005-06-01",40
"2005-07-01",95
"2005-08-01",189
"2005-09-01",160
"2005-10-01",225
"2005-11-01",139
"2005-12-01",77
"2006-01-01",68
"2006-02-01",54
"2006-03-01",60
"2006-04-01",75
"2006-05-01",139
"2006-06-01",163
"2006-07-01",355
"2006-08-01",425
"2006-09-01",397
"2006-10-01",395
"2006-11-01",332
"2006-12-01",366
"2007-01-01",148
"2007-02-01",110
"2007-03-01",73
"2007-04-01",111
"2007-05-01",265
"2007-06-01",569
"2007-07-01",1196
"2007-08-01",725
"2007-09-01",509
"2007-10-01",311
"2007-11-01",114
"2007-12-01",86
"2008-01-01",26
"2008-02-01",15
"2008-03-01",11
"2008-04-01",13
"2008-05-01",35
"2008-06-01",128
"2008-07-01",165
"2008-08-01",218
"2008-09-01",332
"2008-10-01",305
"2008-11-01",297
"2008-12-01",221
"2009-01-01",63
"2009-02-01",58
"2009-03-01",71
"2009-04-01",76
"2009-05-01",123
"2009-06-01",299
"2009-07-01",300
"2009-08-01",304
"2009-09-01",155
"2009-10-01",147
"2009-11-01",124
"2009-12-01",69
"2010-01-01",29
"2010-02-01",36
"2010-03-01",58
"2010-04-01",28
"2010-05-01",58
"2010-06-01",65
"2010-07-01",157
"2010-08-01",345
"2010-09-01",260
"2010-10-01",198
"2010-11-01",143
"2010-12-01",121
"2011-01-01",42
"2011-02-01",33
"2011-03-01",17
"2011-04-01",31
"2011-05-01",84
"2011-06-01",156
"2011-07-01",289
"2011-08-01",552
"2011-09-01",469
"2011-10-01",347
"2011-11-01",195
"2011-12-01",183
"2012-01-01",52
"2012-02-01",61
"2012-03-01",70
"2012-04-01",147
"2012-05-01",212
"2012-06-01",452
"2012-07-01",701
"2012-08-01",510
"2012-09-01",306
"2012-10-01",286
"2012-11-01",217
"2012-12-01",239
"2013-01-01",109
"2013-02-01",36
"2013-03-01",44
"2013-04-01",39
"2013-05-01",59
"2013-06-01",127
"2013-07-01",262
"2013-08-01",197
"2013-09-01",194
"2013-10-01",178
"2013-11-01",174
"2013-12-01",48
"2014-01-01",16
